algorithm,type,scenario,n,run,time_ns,peak_dynamic_bytes
mergesort,unknown,asc,100,1,5300,800
quicksort,unknown,asc,100,1,22700,0
mergesort,unknown,asc,100,2,3900,800
quicksort,unknown,asc,100,2,22400,0
mergesort,unknown,asc,100,3,3500,800
quicksort,unknown,asc,100,3,22400,0
mergesort,unknown,asc,100,4,3800,800
quicksort,unknown,asc,100,4,24500,0
mergesort,unknown,asc,100,5,3800,800
quicksort,unknown,asc,100,5,23600,0
mergesort,unknown,asc,100,6,3700,800
quicksort,unknown,asc,100,6,22100,0
mergesort,unknown,asc,100,7,2500,800
quicksort,unknown,asc,100,7,16100,0
mergesort,unknown,asc,100,8,2800,800
quicksort,unknown,asc,100,8,16500,0
mergesort,unknown,asc,100,9,2300,800
quicksort,unknown,asc,100,9,16900,0
mergesort,unknown,asc,100,10,2500,800
quicksort,unknown,asc,100,10,16000,0
mergesort,unknown,asc,100,11,3100,800
quicksort,unknown,asc,100,11,16000,0
mergesort,unknown,asc,100,12,2400,800
quicksort,unknown,asc,100,12,16100,0
mergesort,unknown,asc,100,13,2300,800
quicksort,unknown,asc,100,13,17700,0
mergesort,unknown,asc,100,14,3500,800
quicksort,unknown,asc,100,14,25900,0
mergesort,unknown,asc,100,15,3900,800
quicksort,unknown,asc,100,15,17600,0
mergesort,unknown,asc,100,16,2900,800
quicksort,unknown,asc,100,16,15900,0
mergesort,unknown,asc,100,17,2500,800
quicksort,unknown,asc,100,17,16000,0
mergesort,unknown,asc,100,18,2600,800
quicksort,unknown,asc,100,18,16100,0
mergesort,unknown,asc,100,19,2700,800
quicksort,unknown,asc,100,19,15900,0
mergesort,unknown,asc,100,20,2300,800
quicksort,unknown,asc,100,20,16400,0
mergesort,unknown,asc,100,21,2500,800
quicksort,unknown,asc,100,21,16300,0
mergesort,unknown,asc,100,22,3100,800
quicksort,unknown,asc,100,22,16100,0
mergesort,unknown,asc,100,23,3000,800
quicksort,unknown,asc,100,23,24000,0
mergesort,unknown,asc,100,24,4500,800
quicksort,unknown,asc,100,24,22900,0
mergesort,unknown,asc,100,25,3400,800
quicksort,unknown,asc,100,25,22300,0
mergesort,unknown,asc,100,26,3400,800
quicksort,unknown,asc,100,26,22500,0
mergesort,unknown,asc,100,27,3500,800
quicksort,unknown,asc,100,27,23000,0
mergesort,unknown,asc,100,28,3100,800
quicksort,unknown,asc,100,28,21200,0
mergesort,unknown,asc,100,29,3200,800
quicksort,unknown,asc,100,29,21800,0
mergesort,unknown,asc,100,30,2500,800
quicksort,unknown,asc,100,30,16300,0
mergesort,unknown,desc,100,1,2800,800
quicksort,unknown,desc,100,1,11300,0
mergesort,unknown,desc,100,2,2600,800
quicksort,unknown,desc,100,2,11300,0
mergesort,unknown,desc,100,3,2400,800
quicksort,unknown,desc,100,3,11000,0
mergesort,unknown,desc,100,4,2800,800
quicksort,unknown,desc,100,4,11100,0
mergesort,unknown,desc,100,5,2300,800
quicksort,unknown,desc,100,5,10900,0
mergesort,unknown,desc,100,6,2400,800
quicksort,unknown,desc,100,6,10900,0
mergesort,unknown,desc,100,7,2200,800
quicksort,unknown,desc,100,7,10900,0
mergesort,unknown,desc,100,8,2600,800
quicksort,unknown,desc,100,8,11200,0
mergesort,unknown,desc,100,9,2500,800
quicksort,unknown,desc,100,9,11100,0
mergesort,unknown,desc,100,10,2300,800
quicksort,unknown,desc,100,10,10800,0
mergesort,unknown,desc,100,11,2200,800
quicksort,unknown,desc,100,11,10900,0
mergesort,unknown,desc,100,12,2400,800
quicksort,unknown,desc,100,12,11100,0
mergesort,unknown,desc,100,13,2500,800
quicksort,unknown,desc,100,13,11200,0
mergesort,unknown,desc,100,14,2400,800
quicksort,unknown,desc,100,14,10900,0
mergesort,unknown,desc,100,15,2200,800
quicksort,unknown,desc,100,15,10900,0
mergesort,unknown,desc,100,16,2300,800
quicksort,unknown,desc,100,16,17400,0
mergesort,unknown,desc,100,17,2800,800
quicksort,unknown,desc,100,17,10900,0
mergesort,unknown,desc,100,18,2300,800
quicksort,unknown,desc,100,18,11000,0
mergesort,unknown,desc,100,19,2300,800
quicksort,unknown,desc,100,19,11000,0
mergesort,unknown,desc,100,20,2600,800
quicksort,unknown,desc,100,20,14300,0
mergesort,unknown,desc,100,21,2600,800
quicksort,unknown,desc,100,21,11000,0
mergesort,unknown,desc,100,22,2700,800
quicksort,unknown,desc,100,22,11000,0
mergesort,unknown,desc,100,23,2500,800
quicksort,unknown,desc,100,23,10900,0
mergesort,unknown,desc,100,24,2300,800
quicksort,unknown,desc,100,24,11100,0
mergesort,unknown,desc,100,25,3200,800
quicksort,unknown,desc,100,25,11100,0
mergesort,unknown,desc,100,26,2300,800
quicksort,unknown,desc,100,26,11000,0
mergesort,unknown,desc,100,27,2400,800
quicksort,unknown,desc,100,27,11300,0
mergesort,unknown,desc,100,28,2700,800
quicksort,unknown,desc,100,28,11000,0
mergesort,unknown,desc,100,29,2300,800
quicksort,unknown,desc,100,29,10900,0
mergesort,unknown,desc,100,30,2300,800
quicksort,unknown,desc,100,30,10800,0
mergesort,unknown,random,100,1,6000,800
quicksort,unknown,random,100,1,4400,0
mergesort,unknown,random,100,2,5400,800
quicksort,unknown,random,100,2,4400,0
mergesort,unknown,random,100,3,5000,800
quicksort,unknown,random,100,3,4400,0
mergesort,unknown,random,100,4,5500,800
quicksort,unknown,random,100,4,4400,0
mergesort,unknown,random,100,5,5200,800
quicksort,unknown,random,100,5,4400,0
mergesort,unknown,random,100,6,5400,800
quicksort,unknown,random,100,6,4700,0
mergesort,unknown,random,100,7,5500,800
quicksort,unknown,random,100,7,4300,0
